,,betty,,betty,Some, extra, rows, are, added, at, the , topSome, extra, rows, are, added, at, the , topSome, extra, rows, are, added, at, the , top
,,ford,,ford,Some, extra, rows, are, added, at, the , top,,,,,,,,,,,,,,
,,R,,R,Some, extra, rows, are, added,, the , top,,,,,,,,,,,,,,
,,likes,,likes,Some, extra, rows, are, added, at, the , top,,,,,,,,,,,,,,
,,to ,,to ,"Scan Session:  ""2-11-20""",,,,,,,,,,,,,,,,,,,,,
,,sing ,,sing ,Start Time:  2/11/2020 8:21:20 AM,,,,,,,,,,,,,,,,,,,,,
,,bobbalu,,bobbalu,,,,,,,,,,,,,,,,,,,,,,
,,,,BobbaLu,Assignment:,,SG1 d,SG2 d,SG3 g,SG-340-OD,SG-340-ID,EX-1890 on EX-1_70-ID,EX-1889 on EX-2_70-OD,EX-1888 on EX-3_310-ID,EX-1887 on EX-4_310-OD,,,,,,,,,,,
,,Bobba-Lu,,Bobba-Lu,Reduction Method: ,,Strain,Strain,Strain,Strain,Strain,mm,mm,mm,mm,,,,,,,,,,,
,,betty,,,,,,,,,,,,,,,,,,,,,,,,
,,ford,,ford,ID,Seconds Elapsed,[1]  Strain,[2]  Strain,[3]  Strain,[5]  Strain,[6]  Strain,[9]  mm,[10]  mm,[11]  mm,[12]  mm,,,,,,,,,,,
,,,,,1,11,111,221,331,441,551,661,771,881,882,,,,,,,,,,,
,,likes,,likes,2,12,112,232,342,442,552,662,772,882,883,,,,,,,,,,,
,,to ,,to ,3,13,113,233,343,443,553,663,773,883,884,,,,,,,,,,,
,,sing ,,sing ,4,14,114,234,344,444,554,664,774,884,885,,,,,,,,,,,
,,,,bobbalu,5,15,115,235,345,445,555,665,775,885,886,,,,,,,,,,,
,,BobbaLu,,BobbaLu,6,16,116,236,346,446,556,666,776,886,887,,,,,,,,,,,
,,Bobba-Lu,,Bobba-Lu,7,17,117,237,347,447,557,667,777,887,888,,,,,,,,,,,
,,betty,,betty,8,18,118,238,348,448,558,668,778,888,889,,,,,,,,,,,
,,ford,,ford,9,19,119,239,349,449,559,669,779,889,890,,,,,,,,,,,
,,R,,R,10,20,120,240,350,450,560,670,780,890,891,,,,,,,,,,,
,,likes,,likes,11,21,121,241,351,451,561,671,781,891,892,,,,,,,,,,,
,,to ,,to ,12,22,122,242,352,452,562,672,782,892,893,,,,,,,,,,,
,,sing ,,sing ,13,23,123,243,353,453,563,673,783,893,894,,,,,,,,,,,
,,bobbalu,,bobbalu,14,24,124,244,354,454,564,674,784,894,895,,,,,,,,,,,
,,BobbaLu,,BobbaLu,15,25,125,245,355,455,565,675,785,895,896,,,,,,,,,,,
,,Bobba-Lu,,Bobba-Lu,16,26,126,246,356,456,566,676,786,896,897,,,,,,,,,,,
,,,,,17,27,127,247,357,457,567,677,787,897,898,,,,,,,,,,,
,,,,,18,28,128,248,358,458,568,678,788,898,899,,,,,,,,,,,
,,,,,19,29,129,249,359,459,569,679,789,899,900,,,,,,,,,,,
,,,,,20,30,130,250,360,460,570,680,790,900,901,,,,,,,,,,,
