TagId,TagName,TimeStamp,DataSource,Value,Quality
89,AliceCooper,2017-10-25 22:42:35.214000000,DS1,305,128
89,AliceCooper,2017-10-25 22:42:44.714000000,DS1,306,128
89,AliceCooper,2017-10-25 22:42:40.214000000,DS1,307,128
89,AliceCooper,2017-10-25 22:42:40.714000000,DS1,308,128
89,AliceCooper,2017-10-25 22:42:41.214000000,DS1,309,128
89,AliceCooper,2017-10-25 22:42:41.714000000,DS1,310,128
89,AliceCooper,2017-10-25 22:42:42.214000000,DS1,311,128
89,AliceCooper,2017-10-25 22:42:42.714000000,DS1,312,128
235,Ibrhim,2017-10-25 22:42:42.714000000,DS2,313,128
235,Ibrhim,2017-10-25 22:42:43.214000000,DS2,314,128
235,Ibrhim,2017-10-25 22:42:43.714000000,DS2,315,128
235,Ibrhim,2017-10-25 22:42:44.214000000,DS2,316,128
235,Ibrhim,2017-10-25 22:42:44.714000000,DS2,317,128
235,Ibrhim,2017-10-25 22:42:45.214000000,DS2,318,128
235,Ibrhim,2017-10-25 22:42:45.714000000,DS2,319,128
235,Ibrhim,2017-10-25 22:42:46.214000000,DS2,320,128
236,Farkle,2017-10-25 22:44:42.214000000,DS1,321,128
236,Farkle,2017-10-25 22:44:42.714000000,DS1,322,128
236,Farkle,2017-10-25 22:44:43.214000000,DS1,323,128
236,Farkle,2017-10-25 22:44:43.714000000,DS1,324,128
236,Farkle,2017-10-25 22:44:44.214000000,DS1,325,128
236,Farkle,2017-10-25 22:44:44.714000000,DS1,326,128
236,Farkle,2017-10-25 22:44:45.214000000,DS1,327,128
236,Farkle,2017-10-25 22:44:45.714000000,DS1,328,128
