TagId,TagName,TimeStamp,DataSource,Value,Quality
103,MC-VD115_InScaled,2017-10-25 22:42:39.214000000,DS1,5,128
103,MC-VD115_InScaled,2017-10-25 22:42:39.714000000,DS1,6,128
103,MC-VD115_InScaled,2017-10-25 22:42:40.214000000,DS1,7,128
103,MC-VD115_InScaled,2017-10-25 22:42:40.714000000,DS1,8,128
103,MC-VD115_InScaled,2017-10-25 22:42:41.214000000,DS1,9,128
103,MC-VD115_InScaled,2017-10-25 22:42:41.714000000,DS1,10,128
103,MC-VD115_InScaled,2017-10-25 22:42:42.214000000,DS1,11,128
103,MC-VD115_InScaled,2017-10-25 22:42:42.714000000,DS1,12,128
104,PT4D.ProcValue,2017-10-25 22:42:42.714000000,DS2,62,128
104,PT4D.ProcValue,2017-10-25 22:42:43.214000000,DS2,61,128
104,PT4D.ProcValue,2017-10-25 22:42:43.714000000,DS2,60,128
104,PT4D.ProcValue,2017-10-25 22:42:44.214000000,DS2,59,128
104,PT4D.ProcValue,2017-10-25 22:42:44.714000000,DS2,58,128
104,PT4D.ProcValue,2017-10-25 22:42:45.214000000,DS2,57,128
104,PT4D.ProcValue,2017-10-25 22:42:45.714000000,DS2,56,128
104,PT4D.ProcValue,2017-10-25 22:42:46.214000000,DS2,55,128
105,PS-IOut_ProcessedValue,2017-10-25 22:44:42.214000000,DS1,155,128
105,PS-IOut_ProcessedValue,2017-10-25 22:44:42.714000000,DS1,156,128
105,PS-IOut_ProcessedValue,2017-10-25 22:44:43.214000000,DS1,157,128
105,PS-IOut_ProcessedValue,2017-10-25 22:44:43.714000000,DS1,158,128
105,PS-IOut_ProcessedValue,2017-10-25 22:44:44.214000000,DS1,159,128
105,PS-IOut_ProcessedValue,2017-10-25 22:44:44.714000000,DS1,160,128
105,PS-IOut_ProcessedValue,2017-10-25 22:44:45.214000000,DS1,161,128
105,PS-IOut_ProcessedValue,2017-10-25 22:44:45.714000000,DS1,162,128
103,MC-VD115_InScaled,2017-10-25 22:47:39.214000000,DS1,55,128
103,MC-VD115_InScaled,2017-10-25 22:47:39.714000000,DS1,56,128
103,MC-VD115_InScaled,2017-10-25 22:47:40.214000000,DS1,57,128
103,MC-VD115_InScaled,2017-10-25 22:47:40.714000000,DS1,58,128
103,MC-VD115_InScaled,2017-10-25 22:47:41.214000000,DS1,59,128
103,MC-VD115_InScaled,2017-10-25 22:47:41.714000000,DS1,60,128
103,MC-VD115_InScaled,2017-10-25 22:47:42.214000000,DS1,61,128
103,MC-VD115_InScaled,2017-10-25 22:47:42.714000000,DS1,62,128
105,PS-IOut_ProcessedValue,2017-10-25 22:48:42.214000000,DS1,205,128
105,PS-IOut_ProcessedValue,2017-10-25 22:48:42.714000000,DS1,206,128
105,PS-IOut_ProcessedValue,2017-10-25 22:48:43.214000000,DS1,207,128
105,PS-IOut_ProcessedValue,2017-10-25 22:48:43.714000000,DS1,208,128
105,PS-IOut_ProcessedValue,2017-10-25 22:48:44.214000000,DS1,209,128
105,PS-IOut_ProcessedValue,2017-10-25 22:48:44.714000000,DS1,210,128
105,PS-IOut_ProcessedValue,2017-10-25 22:48:45.214000000,DS1,211,128
105,PS-IOut_ProcessedValue,2017-10-25 22:48:45.714000000,DS1,212,128
104,PT4D.ProcValue,2017-10-25 22:42:42.714000000,DS2,112,128
104,PT4D.ProcValue,2017-10-25 22:42:43.214000000,DS2,111,128
104,PT4D.ProcValue,2017-10-25 22:42:43.714000000,DS2,110,128
104,PT4D.ProcValue,2017-10-25 22:42:44.214000000,DS2,109,128
104,PT4D.ProcValue,2017-10-25 22:42:44.714000000,DS2,108,128
104,PT4D.ProcValue,2017-10-25 22:42:45.214000000,DS2,107,128
104,PT4D.ProcValue,2017-10-25 22:42:45.714000000,DS2,106,128
104,PT4D.ProcValue,2017-10-25 22:42:46.214000000,DS2,105,128
