betty,betty,Some, extra, rows, are, added, at, the , topSome, extra, rows, are, added, at, the , topSome, extra, rows, are, added, at, the , top
ford,ford,Some, extra, rows, are, added, at, the , top,,,,,,,,,,,,,,
R,R,Some, extra, rows, are, added, at, the , top,,,,,,,,,,,,,,
likes,likes,Some, extra, rows, are, added, at, the , top,,,,,,,,,,,,,,
to ,to ,"Scan Session:  ""2-11-20""",,,,,,,,,,,,,,,,,,,,,
sing ,sing ,Start Time:  2/11/2020 8:31:00 AM,,,,,,,,,,,,,,,,,,,,,
bobbalu,bobbalu,,,,,,,,,,,,,,,,,,,,,,
BobbaLu,BobbaLu,Assignment:,,SG4 d,SG2 d,SG6 g,,,,,,,,,,,,,,,,,
Bobba-Lu,Bobba-Lu,Reduction Method: ,,Strain,Strain,Strain,,,,,,,,,,,,,,,,,
betty,betty,,,,,,,,,,,,,,,,,,,,,,
ford,ford,ID,Seconds Elapsed,[1]  Strain,[2]  Strain,[3]  Strain,,,,,,,,,,,,,,,,,
R,R,1,1,411,221,531,,,,,,,,,,,,,,,,,
likes,likes,2,2,412,222,532,,,,,,,,,,,,,,,,,
to ,to ,3,3,413,223,533,,,,,,,,,,,,,,,,,
sing ,sing ,4,4.1,414,224,534,,,,,,,,,,,,,,,,,
bobbalu,bobbalu,5,4.5,415,225,535,,,,,,,,,,,,,,,,,
BobbaLu,BobbaLu,6,4.9,416,226,536,,,,,,,,,,,,,,,,,
Bobba-Lu,Bobba-Lu,7,5.1,417,227,537,,,,,,,,,,,,,,,,,
betty,betty,8,5.2,418,228,538,,,,,,,,,,,,,,,,,
ford,ford,9,5.3,419,229,539,,,,,,,,,,,,,,,,,
R,R,10,6.3,420,230,540,,,,,,,,,,,,,,,,,
likes,likes,11,7,421,231,541,,,,,,,,,,,,,,,,,
to ,to ,12,8,422,232,542,,,,,,,,,,,,,,,,,
sing ,sing ,13,9,423,233,543,,,,,,,,,,,,,,,,,
bobbalu,bobbalu,14,10,424,234,544,,,,,,,,,,,,,,,,,
BobbaLu,BobbaLu,15,11,425,235,545,,,,,,,,,,,,,,,,,
Bobba-Lu,Bobba-Lu,16,12,426,236,546,,,,,,,,,,,,,,,,,
,,17,13,427,237,547,,,,,,,,,,,,,,,,,
,,18,14,428,238,548,,,,,,,,,,,,,,,,,
,,19,15,429,239,549,,,,,,,,,,,,,,,,,
,,20,16,430,240,550,,,,,,,,,,,,,,,,,
